id,name,type,length
836,,DRIFT,0.234700
837,,QUAD,0.407600
838,,DRIFT,0.195200
839,,DRIFT,0.005000
840,,SEXT,0.190000
841,,DRIFT,0.005000
842,,DRIFT,0.421800
843,,QUAD,0.406400
844,,DRIFT,0.101800
845,,BPM,0.000000
846,,DRIFT,0.484000
847,,BEND,0.933000
848,,DRIFT,0.669000
849,,DRIFT,0.005000
850,,SEXT,0.290000
851,,DRIFT,0.005000
852,,DRIFT,0.196500
853,,QUAD,0.307000
854,,DRIFT,0.173000
855,,BPM,0.000000
856,,DRIFT,0.285350
857,,QUAD,0.606300
858,,DRIFT,0.231850
859,,DRIFT,0.005000
860,,SEXT,0.290000
861,,DRIFT,0.005000
862,,DRIFT,0.146800
863,,QUAD,0.406400
864,,DRIFT,0.150600
865,,BPM,0.000000
866,,DRIFT,0.234100
867,,DRIFT,0.050000
868,,HCHICA,0.000000
869,,DRIFT,0.050000
870,,DRIFT,0.727600
871,,DRIFT,0.050000
872,,HCHICA,0.000000
873,,DRIFT,0.050000
874,,DRIFT,0.539000
875,,DRIFT,0.150000
876,,HTRIM,0.000000
877,,VTRIM,0.000000
878,,DRIFT,0.150000
879,,DRIFT,0.785000
880,,source,0.000000
881,,DRIFT,0.785000
882,,DRIFT,0.150000
883,,HTRIM,0.000000
884,,VTRIM,0.000000
885,,DRIFT,0.150000
886,,DRIFT,0.059500
887,,BPM10,0.000000
888,,DRIFT,0.037500
889,,DRIFT,0.050000
890,,HCHICA,0.000000
891,,DRIFT,0.050000
892,,DRIFT,0.037500
893,,BPM10,0.000000
894,,DRIFT,0.059500
895,,DRIFT,0.150000
896,,HTRIM,0.000000
897,,VTRIM,0.000000
898,,DRIFT,0.150000
899,,DRIFT,0.785000
900,,source,0.000000
901,,DRIFT,0.785000
902,,DRIFT,0.150000
903,,HTRIM,0.000000
904,,VTRIM,0.000000
905,,DRIFT,0.150000
906,,DRIFT,0.539000
907,,DRIFT,0.050000
908,,HCHICA,0.000000
909,,DRIFT,0.050000
910,,DRIFT,0.727600
911,,DRIFT,0.050000
912,,HCHICA,0.000000
913,,DRIFT,0.050000
914,,DRIFT,0.234600
915,,BPM,0.000000
916,,DRIFT,0.150100
917,,QUAD,0.406400
918,,DRIFT,0.146800
919,,DRIFT,0.005000
920,,SEXT,0.290000
921,,DRIFT,0.005000
922,,DRIFT,0.231850
923,,QUAD,0.606300
924,,DRIFT,0.458350
925,,QUAD,0.307000
926,,DRIFT,0.196500
927,,DRIFT,0.005000
928,,SEXT,0.290000
929,,DRIFT,0.005000
930,,DRIFT,0.185000
931,,BPM,0.000000
932,,DRIFT,0.484000
933,,BEND,0.933000
934,,DRIFT,0.585800
935,,QUAD,0.406400
936,,DRIFT,0.158300
937,,BPM,0.000000
938,,DRIFT,0.263500
939,,DRIFT,0.005000
940,,SEXT,0.190000
941,,DRIFT,0.005000
942,,DRIFT,0.195200
943,,QUAD,0.407600
944,,DRIFT,0.118700
945,,BPM,0.000000
946,,DRIFT,0.116000
947,,DRIFT,0.005000
948,,SEXT,0.290000
949,,DRIFT,0.005000
950,,DRIFT,0.234700
951,,QUAD,0.407600
952,,DRIFT,0.195200
953,,DRIFT,0.005000
954,,SEXT,0.190000
955,,DRIFT,0.005000
956,,DRIFT,0.421800
957,,QUAD,0.406400
958,,DRIFT,0.101800
959,,BPM,0.000000
960,,DRIFT,0.484000
961,,BEND,0.933000
962,,DRIFT,0.669000
963,,DRIFT,0.005000
964,,SEXT,0.290000
965,,DRIFT,0.005000
966,,DRIFT,0.196500
967,,QUAD,0.307000
968,,DRIFT,0.173000
969,,BPM,0.000000
970,,DRIFT,0.285350
971,,QUAD,0.606300
972,,DRIFT,0.231850
973,,DRIFT,0.005000
974,,SEXT,0.290000
975,,DRIFT,0.005000
976,,DRIFT,0.146800
977,,QUAD,0.406400
978,,DRIFT,1.288300
979,,BPM,0.000000
980,,DRIFT,0.002500
981,,DRIFT,0.150000
982,,HTRIM,0.000000
983,,VTRIM,0.000000
984,,DRIFT,0.150000
985,,DRIFT,2.577500
986,,source,0.000000
987,,DRIFT,2.577500
988,,DRIFT,0.150000
989,,HTRIM,0.000000
990,,VTRIM,0.000000
991,,DRIFT,0.150000
992,,DRIFT,0.002500
993,,BPM,0.000000
994,,DRIFT,1.288300
995,,QUAD,0.406400
996,,DRIFT,0.146800
997,,DRIFT,0.005000
998,,SEXT,0.290000
999,,DRIFT,0.005000
1000,,DRIFT,0.231850
1001,,QUAD,0.606300
1002,,DRIFT,0.458350
1003,,QUAD,0.307000
1004,,DRIFT,0.196500
1005,,DRIFT,0.005000
1006,,SEXT,0.290000
1007,,DRIFT,0.005000
1008,,DRIFT,0.185000
1009,,BPM,0.000000
1010,,DRIFT,0.484000
1011,,BEND,0.933000
1012,,DRIFT,0.585800
1013,,QUAD,0.406400
1014,,DRIFT,0.158300
1015,,BPM,0.000000
1016,,DRIFT,0.263500
1017,,DRIFT,0.005000
1018,,SEXT,0.190000
1019,,DRIFT,0.005000
1020,,DRIFT,0.195200
1021,,QUAD,0.407600
1022,,DRIFT,0.118700
1023,,BPM,0.000000
1024,,DRIFT,0.116000
1025,,DRIFT,0.005000
1026,,SEXT,0.290000
1027,,DRIFT,0.005000
