el_id,field,uc_type,uc_id
729,x,poly,116
729,y,poly,116
739,x,poly,116
739,y,poly,116
755,x,poly,116
755,y,poly,116
767,x,poly,116
767,y,poly,116
780,x,poly,116
780,y,poly,116
795,x,poly,116
795,y,poly,116
817,x,poly,116
817,y,poly,116
823,x,poly,116
823,y,poly,116
831,x,poly,116
831,y,poly,116
845,x,poly,116
845,y,poly,116
855,x,poly,116
855,y,poly,116
865,x,poly,116
865,y,poly,116
915,x,poly,116
915,y,poly,116
931,x,poly,116
931,y,poly,116
937,x,poly,116
937,y,poly,116
945,x,poly,116
945,y,poly,116
959,x,poly,116
959,y,poly,116
969,x,poly,116
969,y,poly,116
979,x,poly,116
979,y,poly,116
993,x,poly,116
993,y,poly,116
1009,x,poly,116
1009,y,poly,116
1015,x,poly,116
1015,y,poly,116
1023,x,poly,116
1023,y,poly,116
1037,x,poly,116
1037,y,poly,116
1047,x,poly,116
1047,y,poly,116
1057,x,poly,116
1057,y,poly,116
1071,x,poly,116
1071,y,poly,116
1087,x,poly,116
1087,y,poly,116
1093,x,poly,116
1093,y,poly,116
1101,x,poly,116
1101,y,poly,116
1115,x,poly,116
1115,y,poly,116
1125,x,poly,116
1125,y,poly,116
1141,x,poly,116
1141,y,poly,116
1153,x,poly,116
1153,y,poly,116
1166,x,poly,116
1166,y,poly,116
1181,x,poly,116
1181,y,poly,116
1203,x,poly,116
1203,y,poly,116
1209,x,poly,116
1209,y,poly,116
1217,x,poly,116
1217,y,poly,116
1231,x,poly,116
1231,y,poly,116
1241,x,poly,116
1241,y,poly,116
1251,x,poly,116
1251,y,poly,116
1265,x,poly,116
1265,y,poly,116
1281,x,poly,116
1281,y,poly,116
1287,x,poly,116
1287,y,poly,116
1295,x,poly,116
1295,y,poly,116
1309,x,poly,116
1309,y,poly,116
1319,x,poly,116
1319,y,poly,116
1329,x,poly,116
1329,y,poly,116
1343,x,poly,116
1343,y,poly,116
1359,x,poly,116
1359,y,poly,116
1365,x,poly,116
1365,y,poly,116
1373,x,poly,116
1373,y,poly,116
1387,x,poly,116
1387,y,poly,116
1397,x,poly,116
1397,y,poly,116
1407,x,poly,116
1407,y,poly,116
1423,x,poly,116
1423,y,poly,116
1439,x,poly,116
1439,y,poly,116
1445,x,poly,116
1445,y,poly,116
1453,x,poly,116
1453,y,poly,116
1467,x,poly,116
1467,y,poly,116
1478,x,poly,116
1478,y,poly,116
1488,x,poly,116
1488,y,poly,116
1493,x,poly,116
1493,y,poly,116
1509,x,poly,116
1509,y,poly,116
1515,x,poly,116
1515,y,poly,116
1523,x,poly,116
1523,y,poly,116
1537,x,poly,116
1537,y,poly,116
1547,x,poly,116
1547,y,poly,116
1557,x,poly,116
1557,y,poly,116
1573,x,poly,116
1573,y,poly,116
1589,x,poly,116
1589,y,poly,116
1595,x,poly,116
1595,y,poly,116
1603,x,poly,116
1603,y,poly,116
1617,x,poly,116
1617,y,poly,116
1628,x,poly,116
1628,y,poly,116
1638,x,poly,116
1638,y,poly,116
1652,x,poly,116
1652,y,poly,116
1668,x,poly,116
1668,y,poly,116
1674,x,poly,116
1674,y,poly,116
1682,x,poly,116
1682,y,poly,116
1696,x,poly,116
1696,y,poly,116
1706,x,poly,116
1706,y,poly,116
1716,x,poly,116
1716,y,poly,116
1760,x,poly,116
1760,y,poly,116
1777,x,poly,116
1777,y,poly,116
1783,x,poly,116
1783,y,poly,116
1791,x,poly,116
1791,y,poly,116
1805,x,poly,116
1805,y,poly,116
1815,x,poly,116
1815,y,poly,116
1825,x,poly,116
1825,y,poly,116
1839,x,poly,116
1839,y,poly,116
1855,x,poly,116
1855,y,poly,116
1861,x,poly,116
1861,y,poly,116
1869,x,poly,116
1869,y,poly,116
