el_id,family
1417,HSTR
1417,VSTR
1418,GE
1419,dlm_02
1420,BPM
1421,SE
1422,dlm_01
1423,source
1424,MS
1425,dms_27
1426,SE
1427,BPM
1428,dms_26
1429,HFCM
1430,VFCM
1431,dms_25
1432,GS
1433,S6X
1433,SQUAD
1433,HSTR
1433,VSTR
1434,dms_24
1435,Q6N
1436,dms_23
1437,DQ1
1438,dms_22
1439,Q5N
1440,dms_21
1441,BPM
1442,dms_20
1443,S5X
1443,SQUAD
1443,HSTR
1443,VSTR
1444,dms_19
1445,DL3_5
1446,DL3_4
1447,DL3_3
1448,DL3_2
1449,DL3_1
1450,dms_18
1451,Q4N
1452,dms_17
1453,S4A
1453,SQUAD
1453,HSTR
1453,VSTR
1454,dms_16
1455,BPM
1456,dms_15
1457,HFCM
1458,VFCM
1459,dms_14
1460,O1X
1461,dms_13
1462,A2N
1463,dms_12
1464,S3A
1464,SQUAD
1465,dms_11
1466,A1N
1467,dms_10
1468,HFCM
1469,VFCM
1470,dms_09
1471,BPM
1472,dms_08
1473,S2A
1473,SQUAD
1473,HSTR
1473,VSTR
1474,dms_07
1475,Q3N
1476,dms_06
1477,DL4_1
1478,DL4_2
1479,DL4_3
1480,DL4_4
1481,DL4_5
1482,dms_05
1483,Q2N
1484,dms_04
1485,S1X
1485,SQUAD
1485,HSTR
1485,VSTR
1486,dms_03
1487,Q1N
1488,GE
1489,dms_02
1490,BPM
1491,SE
1492,AP
1493,DSS_Ves
1494,AP
1495,AP_I10
1496,I10drift
1497,HTRIM
1498,VTRIM
1499,I10
1500,HTRIM
1501,VTRIM
1502,I10drift
1503,AP_I10
1504,AP
1505,DSS_Ves
1506,AP
1507,SE
1508,BPM
1509,dsm_02
1510,HFCM
1511,VFCM
1512,dsm_03
1513,GS
1514,Q1N
1515,dsm_04
1516,S1X
1516,SQUAD
1516,HSTR
1516,VSTR
1517,dsm_05
1518,Q2N
1519,dsm_06
1520,DL1_5
1521,DL1_4
1522,DL1_3
1523,DL1_2
1524,DL1_1
1525,dsm_07
1526,Q3N
1527,dsm_08
1528,S2A
1528,SQUAD
1528,HSTR
1528,VSTR
1529,dsm_09
1530,BPM
1531,dsm_10
1532,A1N
1533,dsm_11
1534,S3A
1534,SQUAD
1534,HSTR
