el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
989,x_kick,poly,147,,A,-5,5
996,x_kick,poly,148,,A,-5,5
1079,x_kick,poly,149,,A,-5,5
1085,x_kick,poly,150,,A,-5,5
1162,x_kick,poly,151,,A,-5,5
1169,x_kick,poly,152,,A,-5,5
1190,x_kick,poly,153,,A,-5,5
1197,x_kick,poly,154,,A,-5,5
1273,x_kick,poly,155,,A,-5,5
1280,x_kick,poly,156,,A,-5,5
1352,x_kick,poly,157,,A,-5,5
1358,x_kick,poly,158,,A,-5,5
1431,x_kick,poly,159,,A,-5,5
1438,x_kick,poly,160,,A,-5,5
1581,x_kick,poly,161,,A,-5,5
1588,x_kick,poly,162,,A,-5,5
1666,x_kick,poly,163,,A,-5,5
1673,x_kick,poly,164,,A,-5,5
1760,x_kick,poly,165,,A,-5,5
1770,x_kick,poly,166,,A,-5,5
1779,x_kick,poly,167,,A,-5,5
1784,x_kick,poly,168,,A,-5,5
1862,x_kick,poly,169,,A,-5,5
1869,x_kick,poly,170,,A,-5,5
1941,x_kick,poly,171,,A,-5,5
1948,x_kick,poly,172,,A,-5,5
2020,x_kick,poly,173,,A,-5,5
2027,x_kick,poly,174,,A,-5,5
2104,x_kick,poly,175,,A,-5,5
2111,x_kick,poly,176,,A,-5,5
76,x_kick,poly,177,,A,-5,5
83,x_kick,poly,178,,A,-5,5
151,x_kick,poly,179,,A,-5,5
158,x_kick,poly,180,,A,-5,5
227,x_kick,poly,181,,A,-5,5
234,x_kick,poly,182,,A,-5,5
321,x_kick,poly,183,,A,-5,5
326,x_kick,poly,184,,A,-5,5
333,x_kick,poly,185,,A,-5,5
338,x_kick,poly,186,,A,-5,5
413,x_kick,poly,187,,A,-5,5
420,x_kick,poly,188,,A,-5,5
494,x_kick,poly,189,,A,-5,5
501,x_kick,poly,190,,A,-5,5
505,x_kick,poly,191,,A,-5,5
512,x_kick,poly,192,,A,-5,5
589,x_kick,poly,193,,A,-5,5
596,x_kick,poly,194,,A,-5,5
677,x_kick,poly,195,,A,-5,5
684,x_kick,poly,196,,A,-5,5
760,x_kick,poly,197,,A,-5,5
767,x_kick,poly,198,,A,-5,5
788,x_kick,poly,199,,A,-5,5
795,x_kick,poly,200,,A,-5,5
879,x_kick,poly,201,,A,-5,5
886,x_kick,poly,202,,A,-5,5
899,x_kick,poly,203,,A,-5,5
906,x_kick,poly,204,,A,-5,5
990,x_kick,poly,205,,A,-5,5
997,x_kick,poly,206,,A,-5,5
1080,x_kick,poly,207,,A,-5,5
1086,x_kick,poly,208,,A,-5,5
1163,x_kick,poly,209,,A,-5,5
1170,x_kick,poly,210,,A,-5,5
1191,x_kick,poly,211,,A,-5,5
1198,x_kick,poly,212,,A,-5,5
1274,x_kick,poly,213,,A,-5,5
1281,x_kick,poly,214,,A,-5,5
1353,x_kick,poly,215,,A,-5,5
1359,x_kick,poly,216,,A,-5,5
1432,x_kick,poly,217,,A,-5,5
1439,x_kick,poly,218,,A,-5,5
1582,x_kick,poly,219,,A,-5,5
1589,x_kick,poly,220,,A,-5,5
1667,x_kick,poly,221,,A,-5,5
1674,x_kick,poly,222,,A,-5,5
1761,x_kick,poly,223,,A,-5,5
1771,x_kick,poly,224,,A,-5,5
1780,x_kick,poly,225,,A,-5,5
1785,x_kick,poly,226,,A,-5,5
1863,x_kick,poly,227,,A,-5,5
1870,x_kick,poly,228,,A,-5,5
1942,x_kick,poly,229,,A,-5,5
1949,x_kick,poly,230,,A,-5,5
2021,x_kick,poly,231,,A,-5,5
2028,x_kick,poly,232,,A,-5,5
2105,x_kick,poly,233,,A,-5,5
2112,x_kick,poly,234,,A,-5,5
8,a1,pchip,235,m^-2,A,-5,5
28,a1,pchip,236,m^-2,A,-5,5
42,a1,pchip,237,m^-2,A,-5,5
62,a1,pchip,238,m^-2,A,-5,5
101,a1,pchip,239,m^-2,A,-5,5
126,a1,pchip,240,m^-2,A,-5,5
130,a1,pchip,241,m^-2,A,-5,5
185,a1,pchip,242,m^-2,A,-5,5
189,a1,pchip,243,m^-2,A,-5,5
208,a1,pchip,244,m^-2,A,-5,5
251,a1,pchip,245,m^-2,A,-5,5
271,a1,pchip,246,m^-2,A,-5,5
285,a1,pchip,247,m^-2,A,-5,5
305,a1,pchip,248,m^-2,A,-5,5
349,a1,pchip,249,m^-2,A,-5,5
369,a1,pchip,250,m^-2,A,-5,5
383,a1,pchip,251,m^-2,A,-5,5
403,a1,pchip,252,m^-2,A,-5,5
430,a1,pchip,253,m^-2,A,-5,5
450,a1,pchip,254,m^-2,A,-5,5
464,a1,pchip,255,m^-2,A,-5,5
484,a1,pchip,256,m^-2,A,-5,5
521,a1,pchip,257,m^-2,A,-5,5
541,a1,pchip,258,m^-2,A,-5,5
555,a1,pchip,259,m^-2,A,-5,5
575,a1,pchip,260,m^-2,A,-5,5
613,a1,pchip,261,m^-2,A,-5,5
633,a1,pchip,262,m^-2,A,-5,5
647,a1,pchip,263,m^-2,A,-5,5
668,a1,pchip,264,m^-2,A,-5,5
692,a1,pchip,265,m^-2,A,-5,5
712,a1,pchip,266,m^-2,A,-5,5
726,a1,pchip,267,m^-2,A,-5,5
746,a1,pchip,268,m^-2,A,-5,5
808,a1,pchip,269,m^-2,A,-5,5
828,a1,pchip,270,m^-2,A,-5,5
842,a1,pchip,271,m^-2,A,-5,5
862,a1,pchip,272,m^-2,A,-5,5
922,a1,pchip,273,m^-2,A,-5,5
942,a1,pchip,274,m^-2,A,-5,5
956,a1,pchip,275,m^-2,A,-5,5
976,a1,pchip,276,m^-2,A,-5,5
1014,a1,pchip,277,m^-2,A,-5,5
1034,a1,pchip,278,m^-2,A,-5,5
1042,a1,pchip,279,m^-2,A,-5,5
1070,a1,pchip,280,m^-2,A,-5,5
1095,a1,pchip,281,m^-2,A,-5,5
1115,a1,pchip,282,m^-2,A,-5,5
1129,a1,pchip,283,m^-2,A,-5,5
1149,a1,pchip,284,m^-2,A,-5,5
1211,a1,pchip,285,m^-2,A,-5,5
1231,a1,pchip,286,m^-2,A,-5,5
1245,a1,pchip,287,m^-2,A,-5,5
1265,a1,pchip,288,m^-2,A,-5,5
1289,a1,pchip,289,m^-2,A,-5,5
1309,a1,pchip,290,m^-2,A,-5,5
1323,a1,pchip,291,m^-2,A,-5,5
1343,a1,pchip,292,m^-2,A,-5,5
1368,a1,pchip,293,m^-2,A,-5,5
1388,a1,pchip,294,m^-2,A,-5,5
1402,a1,pchip,295,m^-2,A,-5,5
1422,a1,pchip,296,m^-2,A,-5,5
1448,a1,pchip,297,m^-2,A,-5,5
1468,a1,pchip,298,m^-2,A,-5,5
1482,a1,pchip,299,m^-2,A,-5,5
1503,a1,pchip,300,m^-2,A,-5,5
1518,a1,pchip,301,m^-2,A,-5,5
1538,a1,pchip,302,m^-2,A,-5,5
1552,a1,pchip,303,m^-2,A,-5,5
1572,a1,pchip,304,m^-2,A,-5,5
1598,a1,pchip,305,m^-2,A,-5,5
1618,a1,pchip,306,m^-2,A,-5,5
1632,a1,pchip,307,m^-2,A,-5,5
1653,a1,pchip,308,m^-2,A,-5,5
1691,a1,pchip,309,m^-2,A,-5,5
1711,a1,pchip,310,m^-2,A,-5,5
1725,a1,pchip,311,m^-2,A,-5,5
1745,a1,pchip,312,m^-2,A,-5,5
1800,a1,pchip,313,m^-2,A,-5,5
1820,a1,pchip,314,m^-2,A,-5,5
1834,a1,pchip,315,m^-2,A,-5,5
1854,a1,pchip,316,m^-2,A,-5,5
1878,a1,pchip,317,m^-2,A,-5,5
1898,a1,pchip,318,m^-2,A,-5,5
1912,a1,pchip,319,m^-2,A,-5,5
1933,a1,pchip,320,m^-2,A,-5,5
1957,a1,pchip,321,m^-2,A,-5,5
1977,a1,pchip,322,m^-2,A,-5,5
1991,a1,pchip,323,m^-2,A,-5,5
2012,a1,pchip,324,m^-2,A,-5,5
2036,a1,pchip,325,m^-2,A,-5,5
2056,a1,pchip,326,m^-2,A,-5,5
2070,a1,pchip,327,m^-2,A,-5,5
2091,a1,pchip,328,m^-2,A,-5,5
2129,a1,pchip,329,m^-2,A,-5,5
2149,a1,pchip,330,m^-2,A,-5,5
2163,a1,pchip,331,m^-2,A,-5,5
2184,a1,pchip,332,m^-2,A,-5,5
8,x_kick,poly,333,,A,-5,5
16,x_kick,poly,334,,A,-5,5
28,x_kick,poly,335,,A,-5,5
36,x_kick,poly,336,,A,-5,5
42,x_kick,poly,337,,A,-5,5
52,x_kick,poly,338,,A,-5,5
62,x_kick,poly,339,,A,-5,5
101,x_kick,poly,340,,A,-5,5
126,x_kick,poly,341,,A,-5,5
130,x_kick,poly,342,,A,-5,5
139,x_kick,poly,343,,A,-4,4
165,x_kick,poly,344,,A,-4,4
185,x_kick,poly,345,,A,-5,5
189,x_kick,poly,346,,A,-5,5
208,x_kick,poly,347,,A,-5,5
251,x_kick,poly,348,,A,-5,5
259,x_kick,poly,349,,A,-5,5
271,x_kick,poly,350,,A,-5,5
279,x_kick,poly,351,,A,-5,5
285,x_kick,poly,352,,A,-5,5
295,x_kick,poly,353,,A,-5,5
305,x_kick,poly,354,,A,-5,5
349,x_kick,poly,355,,A,-5,5
357,x_kick,poly,356,,A,-5,5
369,x_kick,poly,357,,A,-5,5
377,x_kick,poly,358,,A,-5,5
383,x_kick,poly,359,,A,-5,5
393,x_kick,poly,360,,A,-5,5
403,x_kick,poly,361,,A,-5,5
430,x_kick,poly,362,,A,-5,5
438,x_kick,poly,363,,A,-5,5
450,x_kick,poly,364,,A,-5,5
458,x_kick,poly,365,,A,-5,5
464,x_kick,poly,366,,A,-5,5
474,x_kick,poly,367,,A,-5,5
484,x_kick,poly,368,,A,-5,5
521,x_kick,poly,369,,A,-5,5
529,x_kick,poly,370,,A,-5,5
541,x_kick,poly,371,,A,-5,5
549,x_kick,poly,372,,A,-5,5
555,x_kick,poly,373,,A,-5,5
565,x_kick,poly,374,,A,-5,5
575,x_kick,poly,375,,A,-5,5
613,x_kick,poly,376,,A,-5,5
621,x_kick,poly,377,,A,-5,5
633,x_kick,poly,378,,A,-5,5
641,x_kick,poly,379,,A,-5,5
647,x_kick,poly,380,,A,-5,5
658,x_kick,poly,381,,A,-5,5
668,x_kick,poly,382,,A,-5,5
692,x_kick,poly,383,,A,-5,5
700,x_kick,poly,384,,A,-5,5
712,x_kick,poly,385,,A,-5,5
720,x_kick,poly,386,,A,-5,5
726,x_kick,poly,387,,A,-5,5
