id,field,get_pv,set_pv,enable_pv,enable_value
1271,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1273,b1,SR14A-PC-Q2AB-04:I,SR14A-PC-Q2AB-04:SETI,,
1275,x,SR14C-DI-EBPM-03:SA:X,,SR14C-DI-EBPM-03:CF:ENABLED_S,1
1275,y,SR14C-DI-EBPM-03:SA:Y,,SR14C-DI-EBPM-03:CF:ENABLED_S,1
1278,b2,SR14A-PC-S2A-03:I,SR14A-PC-S2A-03:SETI,,
1278,b0,SR14A-PC-HSTR-03:I,SR14A-PC-HSTR-03:SETI,,
1278,a0,SR14A-PC-VSTR-03:I,SR14A-PC-VSTR-03:SETI,,
1281,b1,SR14A-PC-Q1AB-05:I,SR14A-PC-Q1AB-05:SETI,,
1283,x,SR14C-DI-EBPM-04:SA:X,,SR14C-DI-EBPM-04:CF:ENABLED_S,1
1283,y,SR14C-DI-EBPM-04:SA:Y,,SR14C-DI-EBPM-04:CF:ENABLED_S,1
1286,b2,SR14A-PC-S1A-04:I,SR14A-PC-S1A-04:SETI,,
1286,b0,SR14A-PC-HSTR-04:I,SR14A-PC-HSTR-04:SETI,,
1286,a0,SR14A-PC-VSTR-04:I,SR14A-PC-VSTR-04:SETI,,
1289,b1,SR14A-PC-Q1AB-06:I,SR14A-PC-Q1AB-06:SETI,,
1292,b2,SR14A-PC-S2A-05:I,SR14A-PC-S2A-05:SETI,,
1292,b0,SR14A-PC-HSTR-05:I,SR14A-PC-HSTR-05:SETI,,
1292,a0,SR14A-PC-VSTR-05:I,SR14A-PC-VSTR-05:SETI,,
1295,b1,SR14A-PC-Q2AB-07:I,SR14A-PC-Q2AB-07:SETI,,
1297,x,SR14C-DI-EBPM-05:SA:X,,SR14C-DI-EBPM-05:CF:ENABLED_S,1
1297,y,SR14C-DI-EBPM-05:SA:Y,,SR14C-DI-EBPM-05:CF:ENABLED_S,1
1299,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI,,
1302,b2,SR14A-PC-S2B-06:I,SR14A-PC-S2B-06:SETI,,
1302,b0,SR14A-PC-HSTR-06:I,SR14A-PC-HSTR-06:SETI,,
1302,a0,SR14A-PC-VSTR-06:I,SR14A-PC-VSTR-06:SETI,,
1305,b1,SR14A-PC-Q3B-08:I,SR14A-PC-Q3B-08:SETI,,
1307,x,SR14C-DI-EBPM-06:SA:X,,SR14C-DI-EBPM-06:CF:ENABLED_S,1
1307,y,SR14C-DI-EBPM-06:SA:Y,,SR14C-DI-EBPM-06:CF:ENABLED_S,1
1309,b1,SR14A-PC-Q2B-09:I,SR14A-PC-Q2B-09:SETI,,
1312,b2,SR14A-PC-S1B-07:I,SR14A-PC-S1B-07:SETI,,
1312,b0,SR14A-PC-HSTR-07:I,SR14A-PC-HSTR-07:SETI,,
1312,a0,SR14A-PC-VSTR-07:I,SR14A-PC-VSTR-07:SETI,,
1315,b1,SR14A-PC-Q1B-10:I,SR14A-PC-Q1B-10:SETI,,
