el_id,field,uc_type,uc_id,phys_units,eng_units
1871,x,poly,118,mm,m
1871,y,poly,118,mm,m
1885,x,poly,118,mm,m
1885,y,poly,118,mm,m
1896,x,poly,118,mm,m
1896,y,poly,118,mm,m
1906,x,poly,118,mm,m
1906,y,poly,118,mm,m
1920,x,poly,118,mm,m
1920,y,poly,118,mm,m
1936,x,poly,118,mm,m
1936,y,poly,118,mm,m
1942,x,poly,118,mm,m
1942,y,poly,118,mm,m
1950,x,poly,118,mm,m
1950,y,poly,118,mm,m
1964,x,poly,118,mm,m
1964,y,poly,118,mm,m
1975,x,poly,118,mm,m
1975,y,poly,118,mm,m
1985,x,poly,118,mm,m
1985,y,poly,118,mm,m
1999,x,poly,118,mm,m
1999,y,poly,118,mm,m
2015,x,poly,118,mm,m
2015,y,poly,118,mm,m
2021,x,poly,118,mm,m
2021,y,poly,118,mm,m
2029,x,poly,118,mm,m
2029,y,poly,118,mm,m
2043,x,poly,118,mm,m
2043,y,poly,118,mm,m
2054,x,poly,118,mm,m
2054,y,poly,118,mm,m
2064,x,poly,118,mm,m
2064,y,poly,118,mm,m
2078,x,poly,118,mm,m
2078,y,poly,118,mm,m
2094,x,poly,118,mm,m
