id,name,field,get_pv,set_pv
622,SR07C-DI-EBPM-02,enabled,SR07C-DI-EBPM-02:CF:ENABLED_S,
622,SR07C-DI-EBPM-02,x_fofb_disabled,SR07C-PC-HBPM-02:FAST:DISABLED,
622,SR07C-DI-EBPM-02,x_sofb_disabled,SR07C-PC-HBPM-02:SLOW:DISABLED,
622,SR07C-DI-EBPM-02,y_fofb_disabled,SR07C-PC-VBPM-02:FAST:DISABLED,
622,SR07C-DI-EBPM-02,y_sofb_disabled,SR07C-PC-VBPM-02:SLOW:DISABLED,
624,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
626,SR07A-PC-Q2AB-04,b1,SR07A-PC-Q2AB-04:I,SR07A-PC-Q2AB-04:SETI
628,SR07C-DI-EBPM-03,x,SR07C-DI-EBPM-03:SA:X,
628,SR07C-DI-EBPM-03,y,SR07C-DI-EBPM-03:SA:Y,
628,SR07C-DI-EBPM-03,enabled,SR07C-DI-EBPM-03:CF:ENABLED_S,
628,SR07C-DI-EBPM-03,x_fofb_disabled,SR07C-PC-HBPM-03:FAST:DISABLED,
628,SR07C-DI-EBPM-03,x_sofb_disabled,SR07C-PC-HBPM-03:SLOW:DISABLED,
628,SR07C-DI-EBPM-03,y_fofb_disabled,SR07C-PC-VBPM-03:FAST:DISABLED,
628,SR07C-DI-EBPM-03,y_sofb_disabled,SR07C-PC-VBPM-03:SLOW:DISABLED,
631,SR07A-PC-S2A-03,b2,SR07A-PC-S2A-03:I,SR07A-PC-S2A-03:SETI
631,SR07A-PC-HSTR-03,b0,SR07A-PC-HSTR-03:I,SR07A-PC-HSTR-03:SETI
631,SR07A-PC-HSTR-03,h_fofb_disabled,SR07A-PC-HSTR-03:FAST:DISABLED,
631,SR07A-PC-HSTR-03,h_sofb_disabled,SR07A-PC-HSTR-03:SLOW:DISABLED,
631,SR07A-PC-VSTR-03,a0,SR07A-PC-VSTR-03:I,SR07A-PC-VSTR-03:SETI
631,SR07A-PC-VSTR-03,v_fofb_disabled,SR07A-PC-VSTR-03:FAST:DISABLED,
631,SR07A-PC-VSTR-03,v_sofb_disabled,SR07A-PC-VSTR-03:SLOW:DISABLED,
634,SR07A-PC-Q1AB-05,b1,SR07A-PC-Q1AB-05:I,SR07A-PC-Q1AB-05:SETI
636,SR07C-DI-EBPM-04,x,SR07C-DI-EBPM-04:SA:X,
636,SR07C-DI-EBPM-04,y,SR07C-DI-EBPM-04:SA:Y,
636,SR07C-DI-EBPM-04,enabled,SR07C-DI-EBPM-04:CF:ENABLED_S,
636,SR07C-DI-EBPM-04,x_fofb_disabled,SR07C-PC-HBPM-04:FAST:DISABLED,
636,SR07C-DI-EBPM-04,x_sofb_disabled,SR07C-PC-HBPM-04:SLOW:DISABLED,
636,SR07C-DI-EBPM-04,y_fofb_disabled,SR07C-PC-VBPM-04:FAST:DISABLED,
636,SR07C-DI-EBPM-04,y_sofb_disabled,SR07C-PC-VBPM-04:SLOW:DISABLED,
639,SR07A-PC-S1A-04,b2,SR07A-PC-S1A-04:I,SR07A-PC-S1A-04:SETI
639,SR07A-PC-HSTR-04,b0,SR07A-PC-HSTR-04:I,SR07A-PC-HSTR-04:SETI
639,SR07A-PC-HSTR-04,h_fofb_disabled,SR07A-PC-HSTR-04:FAST:DISABLED,
639,SR07A-PC-HSTR-04,h_sofb_disabled,SR07A-PC-HSTR-04:SLOW:DISABLED,
